,logS,logSpH7,logP,logD,2C9pKi,hERGpIC50,BBB,Pgpcategory,MW,HBD,HBA,TPSA,Flexibility,RotatableBonds
LEVOBU0LOL,3.327,2.075,2.4,0.5099,4.585,5.045,0.5695,0,291.4,2,4,58.56,0.2727,6
LEVOBUPIVACAINE,3.92,1.896,3.41,2.201,4.376,5.131,0.1782,0,288.4,1,3,32.34,0.2727,6
LEVOCABASTINE,0.9288,1.123,4.854,1.197,5.1,5.378,-1.036,0,420.5,1,4,64.33,0.1471,5
LEVOCARNITINE,6.64,3.775,-0.3472,-3.316,4.104,3.208,-1.031,0,162.2,2,4,57.53,0.4,4
LEVODOPA,4.746,4.41,-2.74,-2.93,3.966,2.834,-1.007,0,197.2,4,5,103.8,0.2143,3
LEVOFLOXACIN,2.624,1.274,0.6296,0.01507,4.918,4.624,-1.305,1,361.4,1,7,75.01,0.06897,2
LEVOMETHADYL ACETATE,2.066,1.638,4.27,1.987,4.972,5.584,0.9437,1,353.5,0,3,29.54,0.3333,9
LEVO0RDEFRIN,5.27,3.649,-0.6475,-2.048,4.002,3.838,-0.6551,0,183.2,4,4,86.71,0.1538,2
LEVO0RGESTREL,1.684,1.684,3.316,3.316,4.768,5.02,-0.1885,0,312.4,1,2,37.3,0.07692,2
LEVORPHA0L,3.74,1.244,2.822,1.203,4.424,5.829,5.75E-06,1,257.4,1,2,23.47,0,0
LEVOTHYROXINE,0.864,3.796,1.562,0.5606,5.192,3.873,-1.391,0,776.9,3,5,92.78,0.2,5
LIDOCAINE,4.24,1.595,2.41,1.65,4.274,4.515,0.34,0,234.3,1,3,32.34,0.3529,6
LINCOMYCIN,5.61,3.514,0.1996,-1.322,4.486,3.773,-1.097,1,406.5,5,8,122.5,0.2857,8
LINDANE,2.079,2.079,3.72,3.72,4.39,4.391,0.3798,0,290.8,0,0,0,0,0
LINEZOLID,2.718,1.209,1.311,0.7456,5.04,4.616,-0.3452,0,337.3,1,7,71.11,0.1923,5
LIOTHYRONINE,1.509,3.79,1.603,0.02936,5.116,3.857,-1.407,0,651,3,5,92.78,0.2083,5
LISI0PRIL,3.528,4.366,-3.011,-3.4,4.112,2.559,-1.976,1,405.5,4,8,133,0.4333,13
LODOXAMIDE,3.742,4.687,-0.0512,-2.583,4.303,1.252,-1.503,0,311.6,4,9,156.6,0.3333,7
LOMEFLOXACIN,2.029,2.971,-0.7999,-1.088,5.069,4.319,-1.119,1,351.3,2,6,74.57,0.1111,3
LOMUSTINE,2.914,2.914,2.83,2.83,3.973,4.512,-0.3104,0,233.7,1,5,61.77,0.4,6
LOPERAMIDE,2.241,1.859,3.981,2.417,5.579,6.472,0.06885,1,477,1,4,43.78,0.2162,8
LOPINAVIR,0.1422,0.1422,4.46,4.46,5.144,4.571,-0.9621,1,628.8,4,9,120,0.3469,17
LORACARBEF,3.824,4.093,-1.761,-1.641,4.394,2.332,-1.751,0,349.8,3,7,112.7,0.1923,5
LORATADINE,1.288,1.288,5.2,5.2,5.541,5.701,-0.27,1,382.9,0,4,42.43,0.1,3
LORAZEPAM,2.586,2.586,2.591,2.591,5.338,4.455,0.4677,0,321.2,2,4,61.69,0.04348,1
LOSARTAN,1.712,2.73,3.831,0.941,5.699,5.14,-1.14,1,422.9,2,7,92.51,0.2424,8
LOTEPRED0L ETABONATE,1.288,1.288,3.09,3.09,4.916,4.483,-0.7875,1,467,1,7,99.13,0.2,7
LOVASTATIN,1.188,1.188,4.26,4.26,4.872,4.916,-0.01805,1,404.5,1,5,72.83,0.2258,7
LOXAPINE,2.205,2.247,3.113,2.6,5.113,5.653,0.5329,1,327.8,0,4,28.07,0.03846,1
LYPRESSIN,3.348,4.233,-0.8771,2.111,4.919,0.9089,-1.019,1,1056,13,25,425.6,0.2895,22
MAFENIDE,6.32,3.702,-0.2533,-1.546,3.644,4.139,-0.6412,0,186.2,2,4,86.18,0.1667,2
MALATHION,2.64,2.64,2.38,2.38,4.244,4.189,0.05211,0,330.4,0,6,71.06,0.6111,11
MANGAFODIPIR,3.517,4.805,0.2794,-3.006,5.367,2.522,-1.956,1,638.5,8,18,280.8,0.3953,17
MAPROTILINE,1.572,0.1,5.157,1.12,4.912,5.514,0.6813,0,277.4,1,1,12.03,0.1667,4
MASOPROCOL,2.805,2.805,2.948,2.948,5.25,5.131,-0.2577,0,302.4,4,4,80.92,0.2174,5
MAZINDOL,2.592,1.182,2.355,1.214,5.134,4.48,-0.2299,0,284.7,1,3,35.83,0.04348,1
MEBENDAZOLE,1.202,1.202,2.83,2.83,4.792,4.362,-0.4751,0,295.3,2,6,84.08,0.2083,5
MEBUTAMATE,4.072,4.072,1.767,1.767,3.951,3.694,-0.1027,0,232.3,2,6,104.6,0.5333,8
MECAMYLAMINE,3.987,2.099,2.955,1.013,4.153,4.432,0.2681,0,167.3,1,1,12.03,0.07692,1
MECHLORETHAMINE,5.301,2.626,1.53,0.91,4.174,4.783,0.06136,0,156.1,0,1,3.24,0.5714,4
MECLIZINE,1.735,1.132,5.757,4.339,5.361,7.193,1.01,1,391,0,2,6.48,0.1613,5
MECLOCYCLINE,2.717,3.964,1.033,0.1049,5.016,2.843,-1.152,1,476.9,6,10,181.6,0.05556,2
MECLOFENAMATE,0.9927,2.301,5.728,2.067,5.492,4.014,-0.5472,0,296.2,2,3,49.33,0.15,3
MEDROXYPROGESTERONE ACETATE,0.9159,0.9159,3.633,3.633,4.832,4.727,-0.3881,0,386.5,0,4,60.44,0.09677,3
MEDRYSONE,1.968,1.968,3.164,3.164,4.908,4.68,-0.4881,1,344.5,1,3,54.37,0.03571,1
MEFENAMIC ACID,1.92,2.339,5.12,1.217,5.046,3.95,-0.5274,0,241.3,2,3,49.33,0.1579,3
MEFLOQUINE,1.883,1.46,3.555,2.073,5.321,5.72,0.63,0,378.3,2,3,45.15,0.1429,4
MEGESTROL ACETATE,0.8165,0.8165,3.372,3.372,4.934,4.76,-0.2063,0,384.5,0,4,60.44,0.09677,3
MEGLUMINE,5.931,5.122,-2.29,-3.582,3.951,3.534,-1.388,0,195.2,6,6,113.2,0.5,6
MELOXICAM,2.125,3.16,3.01,0.12,4.799,4.117,-0.9959,0,351.4,2,7,99.6,0.12,3
MELPHALAN,3.062,3.486,-0.3913,-0.52,4.448,3.967,-1.171,0,305.2,2,4,66.56,0.4211,8
MEMANTINE,4.125,2.455,3.28,0.4268,4.164,4.359,-0.1034,0,179.3,1,1,26.02,0,0
MENADIOL DIPHOSPHATE,2.961,4.273,2.403,-1.324,4.394,4.476,-1.184,0,334.2,4,8,133.5,0.1818,4
MENADIONE,2.97,2.97,2.521,2.521,4.492,4.184,0.6368,0,172.2,0,2,34.14,0,0
MEPENZOLATE,4.146,1.944,2.84,0.3704,5.03,5.314,0.2697,0,340.4,1,4,46.53,0.1852,5
MEPERIDINE,4.11,1.818,2.45,0.8897,4.416,5.203,0.7127,0,247.3,0,3,29.54,0.2105,4
MEPHENTERMINE,4.684,1.894,2.326,0.8529,4.005,4.706,0.7792,0,163.3,1,1,12.03,0.25,3
MEPHENYTOIN,3.21,3.21,1.418,1.418,3.954,3.584,-0.5401,0,218.3,1,4,49.41,0.1176,2
MEPIVACAINE,4.45,2.268,1.95,1.27,4.398,4.662,0.09082,0,246.3,1,3,32.34,0.1579,3
MEPREDNISONE,2.449,2.449,1.877,1.877,4.757,4.24,-0.8864,1,372.5,2,5,91.67,0.06667,2
MEPROBAMATE,4.33,4.33,1.506,1.506,3.856,3.702,-0.2048,0,218.3,2,6,104.6,0.5714,8
MEQUI0L,4.838,4.838,1.34,1.34,4.14,4.436,-0.2954,0,124.1,1,2,29.46,0.1111,1
MERCAPTOPURINE,3.583,3.583,-0.1798,-0.1798,3.892,4.096,-0.8725,1,152.2,1,4,54.46,0,0
MEROPENEM,4.595,4.475,-1.348,-2.733,4.571,2.511,-1.603,1,383.5,3,8,110.2,0.2143,6
MERSALYL,3.286,4.19,-0.1996,-1.754,4.183,2.852,-0.7937,0,483.9,3,7,105.1,0.4762,10
MESALAMINE,3.834,4.06,1.068,-2.079,3.826,2.976,-0.5282,0,153.1,3,4,83.55,0.09091,1
MESNA,5.685,3.507,-0.5676,-1.253,3.829,4.057,-0.2029,0,142.2,1,3,54.37,0.3333,2
MESORIDAZINE,1.501,2.741,4.924,1.81,4.842,6.467,-0.2725,1,386.6,0,3,23.55,0.1379,4
MESTRA0L,1.361,1.361,4.089,4.089,4.806,5.431,0.1523,1,310.4,1,2,29.46,0.07692,2
METAPROTERE0L,4.769,3.007,0.5215,-1.492,4.005,4.162,-0.6233,0,211.3,4,4,72.72,0.2667,4
METARAMI0L,5.273,3.336,-0.007155,-1.634,4.083,3.871,-0.6768,0,167.2,3,3,66.48,0.1667,2
METAXALONE,2.703,2.703,2.258,2.258,4.19,4.02,-0.1071,0,221.3,1,4,47.56,0.1765,3
METFORMIN,5.846,4.143,-0.3603,-2.371,3.668,2.912,-1.02,0,129.2,4,5,88.99,0.375,3
METHACHOLINE,6.728,2.931,1.443,-0.9717,4.125,4.545,0.2508,0,160.2,0,3,26.3,0.4,4
METHACYCLINE,2.958,3.911,-0.1131,-0.1614,4.903,3.059,-1.083,1,426.4,5,9,161.4,0.05882,2
METHADONE,2.597,1.614,3.93,1.863,4.91,5.605,1.002,1,309.4,0,2,20.31,0.2917,7
METHAMPHETAMINE,4.858,1.936,2.07,0.5059,3.967,4.581,0.7031,0,149.2,1,1,12.03,0.2727,3
METHANTHELINE,3.502,0.9213,4.558,1.691,5.015,5.798,0.3352,1,340.4,0,4,35.53,0.2593,7
METHARBITAL,4,4,1.207,1.207,3.875,3.383,-0.2435,0,198.2,1,5,66.48,0.1429,2
METHAZOLAMIDE,5.073,5.073,0.1298,0.1298,3.922,4.151,-0.8144,0,236.3,1,7,107.4,0.1429,2
METHDILAZINE,1.783,1.879,4.15,2.61,4.879,5.963,0.4989,1,296.4,0,2,6.48,0.08333,2
METHENAMINE,5.58,3.82,-0.2481,-0.1054,3.763,5.042,0.5489,0,140.2,0,4,12.96,0,0
METHICILLIN,3.355,4.373,1.22,-1.234,4.769,2.706,-1.129,0,380.4,2,8,105.2,0.2143,6
METHIMAZOLE,5.043,5.043,1.066,1.066,4.071,4.195,-0.05336,0,114.2,0,2,17.82,0,0
METHIXENE,1.631,1.63,5.291,3.148,4.806,5.99,0.8983,1,309.5,0,1,3.24,0.08,2
METHOCARBAMOL,4.159,4.159,0.4191,0.4191,4.027,3.897,-0.3475,0,241.2,2,6,91.01,0.4118,7
METHOHEXITAL,2.985,2.985,1.707,1.707,4.271,3.835,-0.06446,0,262.3,1,5,66.48,0.2105,4
METHOTREXATE,1.252,4.03,0.3548,-2.261,5.427,2.827,-1.599,1,454.4,5,13,210.5,0.2857,10
METHOTRIMEPRAZINE,1.78,2.394,4.68,2.825,5.124,5.994,1.007,1,328.5,0,3,15.71,0.2,5
METHOXAMINE,4.802,3.564,0.6253,-0.9414,4.039,4.099,-0.004106,0,211.3,2,4,64.71,0.2667,4
METHOXSALEN,2.34,2.34,2,2,4.636,5.01,-0.4768,0,216.2,0,4,52.58,0.05556,1
METHOXYFLURANE,4.706,4.706,2.339,2.339,4.396,4.403,0.25,0,165,0,1,9.23,0.2857,2
METHSCOPOLAMINE,4.952,2.585,2.268,-0.3033,4.532,4.951,0.3083,0,318.4,1,5,59.06,0.1923,5
METHSUXIMIDE,3.683,3.683,1.403,1.403,4.031,3.842,-0.3213,0,203.2,0,3,37.38,0.0625,1
METHYCLOTHIAZIDE,3.178,4.106,0.9192,0.9003,4.3,4.744,-0.7644,0,360.2,2,7,109.6,0.09524,2
METHYL AMI0LEVULINATE,5.808,3.774,-0.605,-1.844,3.929,3.611,-0.6217,0,145.2,1,4,69.39,0.5556,5
METHYLDOPA,4.67,4.375,-2.334,-2.682,4.039,2.968,-1.011,0,211.2,4,5,103.8,0.2,3
METHYLDOPATE,4.291,3.622,0.623,-1.31,4.118,4.107,-0.6759,0,239.3,3,5,92.78,0.2941,5
METHYLERGO0VINE,3.855,1.666,1.966,1.586,4.548,4.945,-0.5072,1,339.4,3,5,68.36,0.1786,5
METHYLPHENIDATE,4.235,2.344,2.673,0.6492,4.645,4.631,1.08,0,233.3,1,3,38.33,0.2222,4
METHYLPREDNISOLONE,2.51,2.51,1.944,1.944,4.612,4.35,-0.9628,1,374.5,3,5,94.83,0.06667,2
METHYLPREDNISOLONE SUCCINATE,1.587,3.487,2.369,-0.01674,4.829,3.503,-1.672,1,474.5,3,8,138.2,0.1892,7
METHYLTESTOSTERONE,2.05,2.05,3.489,3.489,4.801,4.954,-0.1609,0,302.5,1,2,37.3,0,0
METHYPRYLON,4.307,4.307,0.78,0.78,4.084,3.711,-0.0106,0,183.2,1,3,46.17,0.1538,2
METHYSERGIDE,3.428,1.687,2.236,1.397,4.659,5.628,-0.3467,1,353.5,2,5,57.5,0.1724,5
METIPRA0LOL,3.047,2.487,2.867,0.55,4.739,4.451,0.3861,0,309.4,2,5,67.79,0.3636,8
METOCLOPRAMIDE,2.82,1.966,2.353,0.41,4.234,4.531,-0.0141,1,299.8,2,5,67.59,0.4,8
METOCURINE,1.727,4.29,4.663,3.345,5.829,7.951,-0.03553,1,652.8,0,8,55.38,0.07407,4
METOLAZONE,2.22,2.792,2.585,4.1,5.454,4.823,-0.4464,0,365.8,2,6,92.5,0.07692,2
METOPROLOL,4.465,2.269,1.88,0.07003,4.3,4.902,1.15,0,267.4,2,4,50.72,0.4737,9
METRIZAMIDE,5.8,5.8,-1.89,-1.89,5.37,3.237,-1.346,1,789.1,6,11,168.7,0.2424,8
METRIZOIC ACID,3.285,4.354,1.555,-0.6723,4.946,3.515,-0.991,0,627.9,2,6,86.71,0.2381,5
METRONIDAZOLE,4.816,4.816,-0.59,-0.59,3.981,4.254,-0.5339,0,171.2,1,6,83.87,0.25,3
METYRAPONE,2.589,2.589,1.839,1.839,4.783,4.441,0.6019,0,226.3,0,3,42.85,0.1667,3
METYROSINE,4.867,4.211,-1.943,-2.121,4.05,3.145,-1.195,0,195.2,3,4,83.55,0.2143,3
MEXILETINE,4.553,2.541,2.277,0.268,4.371,4.153,0.1042,0,179.3,1,2,35.25,0.2308,3
MEZLOCILLIN,2.138,3.698,1.076,-0.4213,5.06,2.321,-1.646,1,539.6,3,13,173.5,0.2308,9
MICONAZOLE,-0.1203,-0.1203,5.907,5.907,5.317,5.476,0.5839,0,416.1,0,3,27.05,0.2222,6
MIDAZOLAM,0.6669,0.6669,3.27,3.27,5.989,5.22,0.3727,0,325.8,0,3,30.18,0.03846,1
MIDODRINE,4.916,3.666,-0.6392,-1.487,4.011,3.343,-0.6266,0,254.3,3,6,93.81,0.3889,7
MIFEPRISTONE,0.4889,1.337,4.882,2.619,5.093,6.066,-0.05422,1,429.6,1,3,40.54,0.08333,3
MIGLITOL,5.008,3.26,-1.625,-3.151,4.011,4.057,-0.6466,0,207.2,5,6,104.4,0.2143,3
MIGLUSTAT,6.709,3.064,-0.2678,-2.359,4.039,4.452,-0.3759,0,219.3,4,5,84.16,0.2667,4
MILRI0NE,3.344,3.344,0.7241,0.7241,4.289,4.038,-0.8502,0,211.2,1,4,69.54,0.1176,2
MI0CYCLINE,2.591,3.847,0.4239,-0.1477,4.779,3.175,-1.237,1,457.5,5,10,164.6,0.08333,3
MI0XIDIL,3.579,1.959,0.3546,-0.3462,4.055,4.562,-0.7219,0,209.2,3,6,91.16,0.0625,1
MIRTAZAPINE,3.31,1.268,2.134,2.548,4.509,5.693,0.5594,1,265.4,0,3,19.37,0,0
MISOPROSTOL,1.624,1.624,4.334,4.334,4.448,5.446,-0.1347,1,382.5,2,5,83.83,0.5185,14
MITOMYCIN,3.979,4.067,-0.3998,-0.38,4.354,2.548,-0.7434,1,334.3,3,9,146.9,0.1481,4
MITOTANE,0.1592,0.1592,6.027,6.027,5.176,5.344,0.8873,0,320,0,0,0,0.1579,3
MITOXANTRONE,1.419,2.98,0.355,-0.4089,5.18,3.703,-0.557,1,444.5,8,10,163.2,0.3529,12
MIVACURIUM,1.574,5.4,4.851,4.081,5.507,7.87,-0.1594,1,1029,0,16,144.9,0.3797,30
MODAFINIL,3.377,3.377,1.615,1.615,4.66,4.164,-0.1992,0,273.4,1,3,60.16,0.25,5
MOEXIPRIL,2.687,3.222,0.7281,-0.2734,5.37,3.931,-1.63,1,498.6,2,9,114.4,0.3421,13
MOLINDONE,3.317,1.51,2.142,1.046,4.65,4.609,0.3414,0,276.4,1,4,45.33,0.1364,3
MOMETASONE FUROATE,0.4411,0.4411,3.851,3.851,5.173,4.905,-0.5048,0,521.4,1,6,93.81,0.1282,5
MO0BENZONE,2.916,2.916,3.288,3.288,4.529,5.022,-0.3431,0,200.2,1,2,29.46,0.1875,3
MO0CTA0IN,4.044,4.044,0.8022,0.8022,3.953,4.24,-0.4539,0,234.3,3,5,86.99,0.6667,10
MONTELUKAST,-1.885,0.7653,7.051,3.518,5.708,5.532,-1.188,1,586.2,2,4,70.42,0.2667,12
MORICIZINE,2.315,2.316,3.193,2.203,5.473,5.791,-0.01636,1,427.5,1,7,71.11,0.2424,8
MORPHINE,4.253,1.471,1.098,0.4937,4.579,5.447,0.07587,1,285.3,2,4,52.93,0,0
MOXALACTAM,2.787,5.165,-0.5799,-2.67,4.947,1.392,-2.053,1,520.5,4,15,206.3,0.2564,10
MOXIFLOXACIN,2.152,3.334,-0.4521,-0.2314,4.82,4.53,-1.265,1,401.4,2,7,83.8,0.1212,4
MUPIROCIN,3.028,3.467,2.981,-0.4941,4.888,4.263,-1.666,1,500.6,4,9,146,0.4722,17
MYCOPHE0LATE MOFETIL,3.279,2.52,2.587,1.465,4.919,5.269,-0.147,1,433.5,1,8,94.53,0.303,10
MYCOPHE0LIC ACID,2.066,3.741,2.679,-0.3821,4.817,3.679,-0.7722,0,320.3,2,6,93.06,0.25,6
NABILONE,0.302,0.302,5.684,5.684,4.861,5.6,-0.1746,1,372.5,1,3,46.53,0.2069,6
NABUMETONE,2.137,2.137,3.08,3.08,4.483,5.173,-0.05455,0,228.3,0,2,26.3,0.2222,4
NADOLOL,3.759,2.268,0.7099,-1.43,4.608,4.584,-0.6233,0,309.4,4,5,81.95,0.2609,6
NAFARELIN,2.346,3.619,0.3563,3.985,5.109,1.044,-1.32,1,1322,17,30,472.1,0.4175,43
NAFCILLIN,1.273,3.249,3.01,-0.1144,5.255,3.429,-1.353,0,414.5,2,7,95.94,0.1875,6
NAFTIFINE,1.63,0.8679,5.319,3.429,5.152,6.412,0.5424,1,287.4,0,1,3.24,0.2083,5
NALBUPHINE,3.464,0.9277,2.123,0.7352,4.366,5.773,-0.367,1,357.4,3,5,73.16,0.06452,2
NALIDIXIC ACID,2.63,2.965,1.376,-0.5217,4.154,3.551,-0.6595,0,232.2,1,5,72.19,0.1111,2
NALMEFENE,3.185,0.8636,2.664,1.365,4.615,5.884,-0.1311,1,339.4,2,4,52.93,0.06667,2
NALOXONE,2.947,1.179,2.09,0.3568,4.58,5.557,-0.1894,0,327.4,2,5,70,0.07143,2
NALTREXONE,2.831,1.016,2.165,0.9,4.441,5.579,-0.3253,0,341.4,2,5,70,0.06667,2
NANDROLONE DECA0ATE,0.311,0.311,6.876,6.876,4.959,5.83,0.0866,1,428.6,0,3,43.37,0.2941,10
NANDROLONE PHENPROPIONATE,0.4047,0.4047,5.403,5.403,4.727,5.371,-0.03826,1,406.6,0,3,43.37,0.1471,5
NAPHAZOLINE,3.015,1.42,2.977,0.6853,4.429,4.584,-0.4604,0,210.3,1,2,24.39,0.1111,2
NAPROXEN,2.422,3.027,3.34,0.2661,3.734,4.152,-1.171,0,230.3,1,3,46.53,0.1667,3
NARATRIPTAN,3.894,2.145,2.134,0.5102,4.554,6.009,-0.4032,1,335.5,2,5,65.2,0.2,5
NATAMYCIN,2.85,5.147,-1.086,0.08521,4.979,3.07,-1.39,1,665.7,7,14,231,0.06,3
NATEGLINIDE,1.689,2.42,3.749,0.845,4.527,3.612,-0.8455,0,317.4,2,4,66.4,0.2917,7
NEDOCROMIL,1.795,4.362,2.22,-0.816,4.951,3.741,-1.185,1,371.3,2,8,126.8,0.1724,5
NEFAZODONE,1.83,2.106,4.252,3.139,5.341,6.779,-0.06532,1,470,0,7,55.53,0.2778,10
NELFINAVIR,2.319,1.855,4.414,2.62,4.895,5.24,-0.93,1,567.8,4,7,101.9,0.2791,12
NEOMYCIN,5.198,7.309,-2.574,-0.9473,5.173,1.19,-1.205,1,614.6,13,19,353.1,0.2,9
NETILMICIN,4.304,5.485,-1.636,-1.714,5.002,2.728,-1.212,1,475.6,8,12,199.7,0.2286,8
NEVIRAPINE,2.848,2.848,1.025,1.025,4.907,4.768,0.5718,1,266.3,1,5,58.12,0.04348,1
NIACIN,6.89,3.07,0.4814,-2.192,3.922,3.164,-0.5741,0,123.1,1,3,50.19,0.1111,1
NIACINAMIDE,6.17,6.17,0.15,0.15,3.847,3.358,0.2012,0,122.1,1,3,55.98,0.1111,1
NICARDIPINE,1.742,2.121,4.96,2.504,5.439,5.339,-0.4161,1,479.5,1,9,113.7,0.2973,11
NICLOSAMIDE,0.6901,0.6901,3.928,3.928,5.264,4.45,-0.2626,0,327.1,2,6,95.15,0.1818,4
NICOTINE,5.297,2.009,1.288,0.45,4.154,4.852,0.3113,0,162.2,0,2,16.13,0.07692,1
NIFEDIPINE,1.649,1.649,2.86,2.86,5.378,4.224,-0.3703,1,346.3,1,8,110.4,0.2308,6
NILUTAMIDE,1.396,1.396,2.861,2.861,4.599,3.986,-0.4118,0,317.2,1,7,95.23,0.1304,3
NIMODIPINE,0.7519,0.7519,4.18,4.18,5.257,4.578,-0.433,1,418.4,1,9,119.7,0.3226,10
NISOLDIPINE,0.9091,0.9091,4.53,4.53,5.326,4.568,-0.3732,1,388.4,1,8,110.4,0.2759,8
NITAZOXANIDE,2.601,2.601,2.322,2.322,4.399,4.384,-0.5797,0,307.3,1,8,114.1,0.2727,6
NITISI0NE,1.701,2.764,1.512,0.6749,4.729,4.736,-0.07055,0,329.2,0,6,97.03,0.1667,4
NITRIC OXIDE,7.485,7.485,-0.9727,-0.9727,4.069,3.54,-0.2318,0,31.01,1,2,40.92,0,0
NITROFURANTOIN,2.52,2.52,-0.47,-0.47,4.002,3.62,-0.4138,0,238.2,1,9,120.7,0.1667,3
NITROFURAZONE,3.03,3.03,0.1698,0.1698,3.776,3.445,-0.8499,0,198.1,2,8,126.4,0.2857,4
NITROGLYCERIN,2.583,1.913,1.492,-0.6166,4.156,4.152,-0.5226,0,227.1,0,12,159.8,0.5714,8
NIZATIDINE,4.038,2.833,1.209,-0.199,4.332,4.361,-1.071,0,331.5,2,7,86.01,0.4762,10
00XY0L-9,2.298,2.298,3.66,3.66,4.613,6.55,-0.5638,1,616.8,1,10,103.3,0.814,35
0RELGESTROMIN,1.588,1.588,3.88,3.88,4.749,5.084,-0.4131,0,327.5,2,3,52.82,0.07407,2
0REPINEPHRINE,5.489,3.59,-1.048,-2.299,3.794,3.741,-0.6869,0,169.2,4,4,86.71,0.1667,2
0RETHINDRONE,1.915,1.915,2.97,2.97,4.858,4.895,-0.2258,0,298.4,1,2,37.3,0.04,1
0RETHINDRONE ACETATE,1.2,1.2,3.462,3.462,4.853,4.824,-0.1967,0,340.5,0,3,43.37,0.1071,3
0RETHY0DREL,1.947,1.947,3.107,3.107,4.768,5.122,0.3252,0,298.4,1,2,37.3,0.04,1
0RFLOXACIN,2.759,2.797,-1.03,-0.8281,4.961,4.161,-1.107,1,319.3,2,6,74.57,0.12,3
0RGESTIMATE,0.9985,0.9985,4.324,4.324,4.753,5.016,-0.391,0,369.5,1,4,58.89,0.1333,4
0RTRIPTYLINE,2.675,0.9233,4.04,1.818,4.811,5.455,1.04,0,263.4,1,1,12.03,0.1364,3
0VOBIOCIN,0.9732,3.479,3.042,1.635,5.904,4.444,-1.333,1,612.6,5,13,200,0.2128,10
NYSTATIN,2.86,4.634,-0.9441,0.9488,5.044,3.181,-1.397,1,926.1,12,18,319.6,0.04478,3
OCTREOTIDE,2.547,3.363,0.723,2.319,5.094,2.022,-1.025,1,1019,13,20,332.2,0.2533,19
OCTYL METHOXYCINNAMATE,1.142,1.142,5.367,5.367,4.734,5.473,0.6871,0,290.4,0,3,35.53,0.4762,10
OFLOXACIN,2.624,1.274,0.6296,0.01507,4.918,4.624,-1.305,1,361.4,1,7,75.01,0.06897,2
OLANZAPINE,2.966,1.991,2.595,1.862,5.112,5.548,-0.09722,1,312.4,1,4,30.87,0.04,1
OLMESARTAN MEDOXOMIL,1.283,4.323,3.954,0.9391,6.209,4.841,-1.272,1,558.6,2,12,162.2,0.2444,11
OLOPATADINE,2.866,2.933,3.355,0.4175,5.032,4.621,-1.109,0,337.4,1,4,49.77,0.1852,5
OLSALAZINE,1.027,4.663,2.614,-4.5,4.924,2.776,-0.8028,0,302.2,4,8,139.8,0.1739,4
OMEGA-3-ACID ETHYL ESTERS,1.779,1.779,4.952,4.952,4.701,6.585,0.4067,0,356.5,0,2,26.3,0.64,16
OMEPRAZOLE,2.149,2.149,2.25,2.25,4.928,4.635,-0.82,0,345.4,1,6,77.1,0.1923,5
ONDANSETRON,1.928,1.928,3.336,3.336,5.36,5.787,0.1455,0,293.4,0,4,39.82,0.08,2
ORLISTAT,0.7708,0.7708,6.889,6.889,4.793,5.721,0.3244,1,481.7,1,6,81.7,0.6765,23
ORPHENADRINE,3.353,1.408,3.77,2.126,4.939,5.524,1.177,0,269.4,0,2,12.47,0.2857,6
OSELTAMIVIR,3.704,3.558,1.767,-0.08414,4.277,3.659,-0.4962,0,312.4,2,6,90.65,0.4091,9
OXACILLIN,2.057,4.338,2.38,-0.5799,5.107,2.826,-1.47,0,401.4,2,8,112.7,0.1613,5
OXALIPLATIN,3.658,3.658,0.5132,0.5132,4.017,3.803,-0.308,0,307.3,2,2,24.06,0,0
OXAMNIQUINE,4.001,2.408,2.24,0.1302,4.294,4.748,-0.1311,1,279.3,3,6,90.11,0.2381,5
OXANDROLONE,2.122,2.122,3.113,3.113,4.712,4.634,-0.2596,0,306.4,1,3,46.53,0,0
OXAPROZIN,1.881,3.124,3.98,1.128,5.406,4.017,-1.631,0,293.3,1,4,63.33,0.2083,5
OXAZEPAM,3.092,3.092,2.24,2.24,4.997,4.451,0.595,0,286.7,2,4,61.69,0.04545,1
OXCARBAZEPINE,1.888,1.888,1.893,1.893,4.445,4.541,-0.0339,0,252.3,1,4,63.4,0.04762,1
OXICONAZOLE,-0.1822,-0.1822,5.863,5.863,5.639,5.265,0.3202,0,429.1,0,4,39.41,0.2143,6
OXPRE0LOL,3.221,2.266,2.1,0.21,4.335,4.841,-0.0956,0,265.3,2,4,50.72,0.4737,9
OXYBATE,6.716,4.003,-0.8317,-2.387,3.977,3.069,-1.078,0,104.1,2,3,57.53,0.5,3
OXYBENZONE,1.722,1.722,3.59,3.59,4.724,4.416,-0.1237,0,228.2,1,3,46.53,0.1667,3
OXYBUTYNIN,3.165,1.217,3.479,1.274,4.402,5.476,0.1287,1,357.5,1,4,49.77,0.3704,10
OXYCODONE,3.234,2.027,1.115,0.3257,4.539,5.246,0.09759,0,315.4,1,5,59,0.03704,1
OXYMETAZOLINE,2.119,1.399,3.713,0.6456,4.994,4.066,-0.518,0,260.4,2,3,44.62,0.15,3
OXYMETHOLONE,2.09,1.058,3.616,1.659,4.802,4.543,-0.4923,0,332.5,2,3,57.53,0,0
OXYMORPHONE,3.349,1.838,1.01,-0.1302,4.496,5.207,-0.3062,0,301.3,2,5,70,0,0
OXYPHENBUTAZONE,2.27,1.433,2.72,0.215,5.218,5.02,-0.7327,0,324.4,1,5,60.85,0.1923,5
OXYPHENCYCLIMINE,3.048,1.738,2.831,-0.06562,4.654,4.774,-0.508,0,344.4,1,5,62.13,0.2222,6
